date,zones,landings
6/22/21,north,12311
6/23/21,north,12311
6/24/21,north,12311
6/25/21,north,12311
6/26/21,north,12311
6/27/21,north,12311
6/28/21,north,12311
6/29/21,north,12311
6/30/21,north,12311
7/1/21,north,8997
7/2/21,north,8997
7/3/21,north,8997
7/4/21,north,8997
7/5/21,north,8997
7/6/21,north,8997
7/7/21,north,8997
7/8/21,north,8997
7/9/21,north,8997
7/10/21,north,8997
7/11/21,north,8997
7/12/21,north,8997
7/13/21,north,8997
7/14/21,north,8997
7/15/21,north,8997
7/16/21,north,8997
7/17/21,north,8997
7/18/21,north,8997
7/19/21,north,8997
7/20/21,north,8997
7/21/21,north,8997
7/22/21,north,8997
7/23/21,north,8997
7/24/21,north,8997
7/25/21,north,8997
7/26/21,north,8997
7/27/21,north,8997
7/28/21,north,8997
7/29/21,north,8997
7/30/21,north,8997
7/31/21,north,8997
8/1/20,south,8997
8/2/20,south,8997
8/3/20,south,8997
8/4/20,south,8997
8/5/20,south,8997
8/6/20,south,8997
8/7/20,south,8997
8/8/20,south,8997
8/9/20,south,8997
8/10/20,south,8997
8/11/20,south,8997
8/12/20,south,8997
8/13/20,south,8997
8/14/20,south,8997
8/15/20,south,8997
8/16/20,south,8997
8/17/20,south,8997
8/18/20,south,8997
8/19/20,south,8997
8/20/20,south,8997
8/21/20,south,8997
8/22/20,south,8997
8/23/20,south,8997
8/24/20,south,8997
8/25/20,south,8997
8/26/20,south,8997
8/27/20,south,8997
8/28/20,south,8997
8/29/20,south,8997
8/30/20,south,8997
8/31/20,south,8997
9/1/20,south,32
9/2/20,south,32
9/3/20,south,32
9/4/20,south,32
9/5/20,south,32
9/6/20,south,32
9/7/20,south,32
9/8/20,south,32
9/9/20,south,32
9/10/20,south,32
9/11/20,south,32
9/12/20,south,32
9/13/20,south,32
9/14/20,south,32
9/15/20,south,32
9/16/20,south,32
9/17/20,south,32
9/18/20,south,32
9/19/20,south,32
9/20/20,south,32
9/21/20,south,32
9/22/20,south,32
9/23/20,south,32
9/24/20,south,32
9/25/20,south,32
9/26/20,south,32
9/27/20,south,32
9/28/20,south,32
9/29/20,south,32
9/30/20,south,32
10/1/20,south,32
10/2/20,south,32
10/3/20,south,32
10/4/20,south,32
10/5/20,south,32
10/6/20,south,32
10/7/20,south,32
10/8/20,south,32
10/9/20,south,32
10/10/20,south,32
10/11/20,south,32
10/12/20,south,32
10/13/20,south,32
10/14/20,south,32
10/15/20,south,32
10/16/20,south,32
10/17/20,south,32
10/18/20,south,32
10/19/20,south,32
10/20/20,south,32
10/21/20,south,32
10/22/20,south,32
10/23/20,south,32
10/24/20,south,32
10/25/20,south,32
10/26/20,south,32
10/27/20,south,32
10/28/20,south,32
10/29/20,south,32
10/30/20,south,32
10/31/20,south,32
11/1/20,south,3
11/2/20,south,3
11/3/20,south,3
11/4/20,south,3
11/5/20,south,3
11/6/20,south,3
11/7/20,south,3
11/8/20,south,3
11/9/20,south,3
11/10/20,south,3
11/11/20,south,3
11/12/20,south,3
11/13/20,south,3
11/14/20,south,3
11/15/20,south,3
11/16/20,south,3
11/17/20,south,3
11/18/20,south,3
11/19/20,south,3
11/20/20,south,3
11/21/20,south,3
11/22/20,south,3
11/23/20,south,3
11/24/20,south,3
11/25/20,south,3
11/26/20,south,3
11/27/20,south,3
11/28/20,south,3
11/29/20,south,3
11/30/20,south,3
12/1/20,south,3
12/2/20,south,3
12/3/20,south,3
12/4/20,south,3
12/5/20,south,3
12/6/20,south,3
12/7/20,south,3
12/8/20,south,3
12/9/20,south,3
12/10/20,south,3
12/11/20,south,3
12/12/20,south,3
12/13/20,south,3
12/14/20,south,3
12/15/20,south,3
12/16/20,south,3
12/17/20,south,3
12/18/20,south,3
12/19/20,south,3
12/20/20,south,3
